NOTICIA DE REFERENCIA: 
	https://elpais.com/politica/2019/10/20/actualidad/1571575152_143333.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-10-06T12:36:48Z	https://elpais.com/politica/2019/10/05/actualidad/1570287610_690384.html
2019-10-06T10:37:29Z	https://elpais.com/politica/2019/10/05/actualidad/1570294895_628698.html
2019-10-06T08:50:11Z	https://elpais.com/politica/2019/10/06/actualidad/1570348639_482720.html
2019-10-05T19:27:58Z	https://elpais.com/politica/2019/10/05/actualidad/1570268682_393221.html
2019-10-05T15:53:56Z	https://elpais.com/politica/2019/10/04/actualidad/1570213592_952583.html
2019-10-05T15:34:28Z	https://elpais.com/politica/2019/10/04/actualidad/1570217154_572999.html
2019-10-05T09:57:46Z	https://elpais.com/politica/2019/10/04/actualidad/1570213416_823417.html
2019-10-05T09:52:19Z	https://elpais.com/politica/2019/10/03/actualidad/1570117466_202025.html
2019-10-04T22:14:46Z	https://elpais.com/politica/2019/10/04/actualidad/1570209637_330181.html
2019-10-04T19:53:44Z	https://elpais.com/politica/2019/10/04/actualidad/1570213436_513464.html
2019-10-04T19:35:42Z	https://elpais.com/politica/2019/10/04/actualidad/1570181369_310107.html
2019-10-04T13:57:30Z	https://elpais.com/politica/2019/10/03/actualidad/1570098841_795952.html
2019-10-04T13:37:46Z	https://elpais.com/politica/2019/10/03/actualidad/1570101299_011437.html
2019-10-03T08:43:54Z	https://elpais.com/politica/2019/10/02/actualidad/1570014693_446597.html
2019-10-02T19:53:58Z	https://elpais.com/politica/2019/10/02/actualidad/1570029832_187427.html
2019-10-02T17:56:23Z	https://elpais.com/politica/2019/10/02/actualidad/1570033740_848051.html
2019-10-02T17:16:45Z	https://elpais.com/politica/2019/10/02/actualidad/1570000222_865983.html
2019-10-02T15:57:36Z	https://elpais.com/politica/2019/10/01/actualidad/1569942151_783402.html
2019-09-30T22:00:39Z	https://elpais.com/elpais/2019/09/27/ideas/1569595604_551679.html
2019-02-20T17:23:23Z	https://elpais.com/elpais/2019/02/19/opinion/1550604596_655466.html
2019-02-14T11:24:22Z	https://elpais.com/politica/2019/02/13/actualidad/1550082903_330105.html
2019-02-13T16:05:30Z	https://elpais.com/elpais/2019/02/13/opinion/1550061217_664610.html
2019-02-11T19:19:20Z	https://elpais.com/elpais/2019/02/11/opinion/1549908403_480146.html
2019-02-11T10:32:29Z	https://elpais.com/politica/2019/02/11/actualidad/1549845123_512919.html
2019-02-09T18:56:36Z	https://elpais.com/politica/2019/02/08/actualidad/1549632624_470159.html
2019-02-06T16:25:31Z	https://elpais.com/politica/2019/02/06/actualidad/1549446845_560313.html
2019-02-04T20:22:56Z	https://elpais.com/ccaa/2019/02/04/catalunya/1549277459_118102.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + cuerpoNoticia

2019-10-18T19:17:25Z	https://elpais.com/politica/2019/10/18/actualidad/1571383904_816018.html
2019-10-18T18:19:06Z	https://elpais.com/politica/2019/10/17/actualidad/1571329201_216432.html
2019-10-18T15:53:27Z	https://elpais.com/ccaa/2019/10/17/catalunya/1571343153_755292.html
2019-10-17T12:07:37Z	https://elpais.com/ccaa/2019/10/17/catalunya/1571295224_497171.html
2019-10-16T23:14:28Z	https://elpais.com/politica/2019/10/16/actualidad/1571210620_205746.html
2019-10-16T13:38:17Z	https://elpais.com/politica/2019/10/15/actualidad/1571167986_617326.html
2019-10-15T20:04:46Z	https://elpais.com/ccaa/2019/10/15/catalunya/1571126070_689008.html
